Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
0,01999999;-0,421389;-1;35,85746;-9,91864;36,27816;-9,89455
0,03999998;-0,4140109;-0,1701149;35,86014;-9,836277;36,27347;-9,812609
0,05999998;-0,4052535;-0,1588397;35,8634;-9,74009;36,26799;-9,716921
0,07999997;-0,3965531;-0,1547747;35,86662;-9,644194;36,26253;-9,621523
0,09999996;-0,3879101;-0,1507402;35,86983;-9,549004;36,25711;-9,526827
0,12;-0,3792784;-0,1464807;35,87303;-9,453925;36,25169;-9,432243
0,14;-0,3706468;-0,1421655;35,87623;-9,358808;36,24627;-9,337618
0,16;-0,362019;-0,1378703;35,87943;-9,263702;36,24085;-9,243006
0,1799999;-0,3533948;-0,1335762;35,88262;-9,168612;36,23544;-9,148411
0,1999999;-0,344479;-0,1276606;35,88581;-9,073529;36,22964;-9,052456
0,2199999;-0,3354787;-0,1227378;35,889;-8,978448;36,22385;-8,957924
0,2399999;-0,3264895;-0,1182988;35,89218;-8,883368;36,21806;-8,863398
0,2599999;-0,317493;-0,1137641;35,89536;-8,788289;36,21226;-8,768866
0,2799999;-0,3085038;-0,109306;35,89854;-8,693211;36,20647;-8,674339
0,2999999;-0,2995147;-0,1048117;35,90172;-8,598132;36,20067;-8,579811
0,3199999;-0,2905295;-0,1003385;35,9049;-8,503054;36,19488;-8,485281
0,3399999;-0,281548;-0,09586665;35,90807;-8,407975;36,18909;-8,390751
0,3599998;-0,2723506;-0,09018853;35,91123;-8,312897;36,183;-8,295128
0,3799998;-0,2629885;-0,08468375;35,9144;-8,217818;36,17683;-8,200661
0,3999998;-0,2536302;-0,08002335;35,91756;-8,12274;36,17065;-8,106194
0,4199998;-0,2442719;-0,07534475;35,92072;-8,027661;36,16447;-8,011724
0,4399998;-0,2348754;-0,07045467;35,92392;-7,932495;36,15829;-7,917171
0,4599997;-0,2254521;-0,06560984;35,92714;-7,837289;36,15211;-7,822578
0,4799997;-0,2161241;-0,06142183;35,93027;-7,742264;36,14594;-7,728165
