Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
0,01999999;-0,421389;-1;35,85746;-9,91864;36,27816;-9,89455
0,03999998;-0,4116763;1;35,86147;-9,818808;36,27248;-9,795273
0,05999998;-0,4015509;1;35,86589;-9,718905;36,26679;-9,69595
0,07999997;-0,3920025;1;35,86973;-9,618894;36,26109;-9,596481
0,09999996;-0,3840203;1;35,87199;-9,518753;36,25539;-9,496799
0,12;-0,3786021;1;35,87168;-9,418507;36,24966;-9,396862
0,14;-0,3767565;-1;35,86779;-9,318258;36,24393;-9,296719
0,16;-0,3783075;-1;35,86051;-9,218276;36,2382;-9,19665
0,1799999;-0,3821318;-1;35,85085;-9,118578;36,23226;-9,095201
0,1999999;-0,3870698;-1;35,8398;-9,019105;36,22615;-8,995426
0,2199999;-0,3923898;-1;35,82838;-8,919761;36,22004;-8,895758
0,2399999;-0,3971136;-1;35,81756;-8,820436;36,21393;-8,796144
0,2599999;-0,4002437;-1;35,80833;-8,721042;36,20783;-8,696558
0,2799999;-0,4007863;-1;35,80169;-8,621533;36,20173;-8,597015
0,2999999;-0,397763;-0,954302;35,79862;-8,521944;36,19564;-8,497612
0,3199999;-0,3902262;1;35,80007;-8,42241;36,18956;-8,398537
0,3399999;-0,3781629;1;35,80585;-8,322936;36,18321;-8,298265
0,3599998;-0,3625888;1;35,81496;-8,223618;36,17678;-8,199963
0,3799998;-0,3446827;1;35,82642;-8,124449;36,17037;-8,101961
0,3999998;-0,3254385;1;35,83923;-8,025355;36,16398;-8,004124
0,4199998;-0,3058271;1;35,8524;-7,926222;36,15758;-7,906273
0,4399998;-0,2868275;1;35,86495;-7,826923;36,15117;-7,808212
0,4599997;-0,2694223;1;35,87589;-7,72735;36,14473;-7,70977
0,4799997;-0,2546007;1;35,8842;-7,627445;36,13826;-7,610836
0,4999997;-0,2431046;1;35,88891;-7,527227;36,13143;-7,510368
0,5199997;-0,2360611;1;35,88898;-7,426825;36,12448;-7,410454
0,5399997;-0,2346386;-0,9239806;35,88344;-7,326504;36,11751;-7,31023
0,5599996;-0,2387072;-1;35,87242;-7,226702;36,11055;-7,210148
0,5799996;-0,2472729;-1;35,85694;-7,127572;36,10362;-7,11042
0,5999996;-0,2593257;-1;35,83802;-7,029119;36,09672;-7,011131
0,6199996;-0,2738449;-1;35,81665;-6,931249;36,08984;-6,912254
0,6399996;-0,2898439;-1;35,79384;-6,83379;36,08299;-6,813686
0,6599995;-0,3059477;-1;35,77056;-6,73653;36,07568;-6,71402
0,6799995;-0,3215156;-1;35,74777;-6,639242;36,06842;-6,615589
0,6999995;-0,3356032;-1;35,72645;-6,541713;36,06115;-6,517025
0,7199995;-0,347224;-1;35,70757;-6,443775;36,05386;-6,418228
0,7399995;-0,3553942;-1;35,69212;-6,345334;36,04655;-6,319187
0,7599995;-0,3591159;-1;35,68109;-6,246397;36,03923;-6,219975
0,7799994;-0,3574133;-1;35,67547;-6,147102;36,03192;-6,120808
0,7999994;-0,3493085;1;35,67626;-6,047754;36,02451;-6,020546
0,8199994;-0,3345886;1;35,68327;-5,948547;36,01684;-5,922489
0,8399994;-0,3146996;1;35,6955;-5,849749;36,00925;-5,825237
0,8599994;-0,2906549;1;35,71194;-5,751465;36,00171;-5,728828
0,8799993;-0,2634423;1;35,7316;-5,653677;35,99424;-5,633156
0,8999993;-0,234033;1;35,75349;-5,556268;35,98681;-5,53804
0,9199993;-0,2033995;1;35,77662;-5,459058;35,9794;-5,443214
0,9399993;-0,1724788;1;35,80004;-5,361826;35,97199;-5,348392
0,9599993;-0,1422277;1;35,82277;-5,264346;35,96456;-5,253269
0,9799992;-0,1132032;1;35,84383;-5,166408;35,95665;-5,157097
0,9999992;-0,0867428;1;35,86225;-5,067856;35,9487;-5,060719
1,019999;-0,06386089;1;35,87702;-4,968614;35,94066;-4,96336
1,039999;-0,04557996;1;35,88712;-4,868714;35,93254;-4,864964
1,059999;-0,0329294;1;35,89152;-4,76833;35,92434;-4,765621
1,079999;-0,02695439;1;35,88922;-4,667805;35,91608;-4,665588
1,099999;-0,02868449;-1;35,87922;-4,567686;35,90781;-4,565327
1,119999;-0,03789696;-1;35,86177;-4,468662;35,89952;-4,465374
1,139999;-0,05315238;-1;35,83796;-4,371046;35,89091;-4,366432
1,159999;-0,07380647;-1;35,80886;-4,274949;35,88239;-4,268547
1,179999;-0,09882586;-1;35,77551;-4,180324;35,87396;-4,171753
1,199999;-0,1271846;-1;35,73891;-4,086987;35,86562;-4,075954
1,219999;-0,1578977;-1;35,70005;-3,994663;35,85735;-3,980968
1,239999;-0,1899973;-1;35,65985;-3,903;35,84913;-3,88652
1,259999;-0,2225295;-1;35,61923;-3,811611;35,84092;-3,792309
1,279999;-0,2545308;-1;35,57912;-3,720096;35,83259;-3,696854
1,299999;-0,2846593;-1;35,54042;-3,628071;35,82389;-3,602077
1,319999;-0,3123819;-1;35,50407;-3,535193;35,81515;-3,506672
1,339999;-0,3367223;-1;35,47101;-3,441192;35,80632;-3,410446
1,359999;-0,3566879;-1;35,44222;-3,345896;35,79742;-3,313328
1,379999;-0,3712713;-1;35,41872;-3,249264;35,78844;-3,215363
1,399999;-0,379465;-1;35,40152;-3,151414;35,7794;-3,116764
1,419999;-0,3802651;-1;35,39166;-3,052657;35,77034;-3,017937
1,439999;-0,3726707;1;35,39016;-2,953526;35,76111;-2,91774
1,459999;-0,3565056;1;35,39685;-2,854503;35,75171;-2,820271
1,479999;-0,3332621;1;35,41071;-2,756121;35,74244;-2,724121
1,499999;-0,3039978;1;35,43071;-2,658697;35,73331;-2,629509
1,519999;-0,2697592;1;35,45582;-2,562361;35,72433;-2,536457
1,539999;-0,2315461;1;35,48502;-2,467084;35,7155;-2,444851
1,559999;-0,1903212;1;35,51733;-2,372716;35,70677;-2,354439
1,579999;-0,1470261;1;35,55179;-2,279014;35,69814;-2,264896
