Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
0,01999999;-0,4122494;-1;35,86089;-9,818699;36,27247;-9,795132
0,03999998;-0,4017267;-0,1482496;35,86572;-9,718815;36,26678;-9,695848
0,05999998;-0,3909935;-0,1418311;35,87075;-9,618941;36,2611;-9,59659
0,07999997;-0,3800657;-0,1353939;35,87597;-9,519078;36,25542;-9,497349
0,09999996;-0,3689505;-0,1288993;35,88139;-9,419225;36,24974;-9,39813
0,12;-0,3576556;-0,1223528;35,88699;-9,319382;36,24406;-9,298935
0,14;-0,3461887;-0,1157602;35,89275;-9,219548;36,23838;-9,199757
0,16;-0,3344542;-0,1085545;35,89868;-9,119724;36,23251;-9,099264
0,1799999;-0,3222778;-0,1002571;35,90476;-9,019909;36,22644;-9,000195
0,1999999;-0,3099677;-0,09343325;35,91098;-8,920102;36,22037;-8,90114
0,2199999;-0,2975237;-0,08654157;35,91733;-8,820304;36,2143;-8,802105
0,2399999;-0,2849613;-0,07966865;35,9238;-8,720513;36,20823;-8,703081
0,2599999;-0,2722879;-0,07277688;35,93038;-8,62073;36,20216;-8,604074
0,2799999;-0,2595151;-0,06589385;35,93707;-8,520954;36,19609;-8,505079
0,2999999;-0,2466468;-0,05898181;35,94384;-8,421184;36,19003;-8,406096
0,3199999;-0,2335297;-0,05117898;35,9507;-8,321419;36,18373;-8,306183
0,3399999;-0,2201077;-0,04294431;35,95762;-8,221659;36,17726;-8,207298
0,3599998;-0,2066247;-0,03589709;35,96461;-8,121903;36,1708;-8,108421
0,3799998;-0,1930955;-0,02890174;35,97165;-8,022151;36,16433;-8,009554
0,3999998;-0,1795244;-0,02190652;35,97873;-7,922402;36,15787;-7,91069
0,4199998;-0,1659266;-0,01497425;35,98583;-7,822655;36,15141;-7,811829
0,4399998;-0,152302;-0,008028159;35,99296;-7,722909;36,14494;-7,712971
0,4599997;-0,1386696;-0,001172604;36,0001;-7,623165;36,13848;-7,614117
0,4799997;-0,1247894;0,007006094;36,00724;-7,52342;36,13173;-7,514763
0,4999997;-0,1107518;0,01481225;36,01438;-7,423675;36,12486;-7,415993
0,5199997;-0,09674095;0,02168379;36,02149;-7,323928;36,118;-7,317219
0,5399997;-0,08276089;0,02851989;36,02857;-7,224179;36,11113;-7,218437
0,5599996;-0,06881487;0,03532268;36,03561;-7,124427;36,10426;-7,119656
0,5799996;-0,0549227;0,04199957;36,0426;-7,024672;36,09739;-7,020863
0,5999996;-0,04108407;0,04865115;36,04954;-6,924912;36,09052;-6,922062
0,6199996;-0,02731414;0,05519259;36,0564;-6,825149;36,08365;-6,823254
0,6399996;-0,01328435;0,06350681;36,06319;-6,725379;36,07644;-6,724403
0,6599995;0,0007418707;0,07050206;36,0699;-6,625604;36,06916;-6,625656
0,6799995;0,01466527;0,07694964;36,0765;-6,525823;36,06187;-6,526901
0,6999995;0,02848507;0,08334157;36,083;-6,426034;36,05459;-6,428127
0,7199995;0,04219045;0,08962214;36,08937;-6,326238;36,0473;-6,329342
0,7399995;0,05576947;0,09577985;36,09563;-6,226433;36,04001;-6,230537
0,7599995;0,0692221;0,1018742;36,10175;-6,126621;36,03272;-6,131714
0,7799994;0,08252556;0,1077801;36,10773;-6,0268;36,02543;-6,032871
0,7999994;0,09607152;0,1157656;36,11356;-5,92697;36,01778;-5,934456
0,8199994;0,1095016;0,1219014;36,11923;-5,82713;36,01006;-5,835659
0,8399994;0,1227558;0,1276485;36,12473;-5,727282;36,00234;-5,736839
0,8599994;0,135838;0,1333301;36,13004;-5,627423;35,99462;-5,638
0,8799993;0,1487328;0,1388406;36,13518;-5,527555;35,9869;-5,539139
0,8999993;0,1614361;0,1442347;36,14012;-5,427677;35,97917;-5,44025
0,9199993;0,1739403;0,1494911;36,14486;-5,327789;35,97144;-5,341335
0,9399993;0,1862543;0,1546971;36,14939;-5,227892;35,96376;-5,243214
0,9599993;0,1987747;0,1619893;36,1537;-5,127985;35,9556;-5,144337
0,9799992;0,2110693;0,1670079;36,15779;-5,028069;35,94744;-5,045433
0,9999992;0,2231341;0,1718907;36,16165;-4,928143;35,93927;-4,946499
1,019999;0,2349578;0,1765976;36,16526;-4,828208;35,9311;-4,847538
1,039999;0,2465363;0,1811609;36,16863;-4,728265;35,92293;-4,748547
1,059999;0,2578662;0,1855824;36,17175;-4,628314;35,91476;-4,649529
1,079999;0,2689356;0,1898148;36,17461;-4,528355;35,90658;-4,55048
1,099999;0,2798366;0,1944232;36,1772;-4,428389;35,89842;-4,452663
1,119999;0,2908182;0,2003172;36,17952;-4,328415;35,8898;-4,353638
1,139999;0,3015246;0,2042946;36,18156;-4,228436;35,88117;-4,254589
1,159999;0,3119439;0,208068;36,18332;-4,128452;35,87255;-4,15551
1,179999;0,3220754;0,2116956;36,18478;-4,028462;35,86392;-4,056396
1,199999;0,3319164;0,2151632;36,18595;-3,928469;35,85529;-3,95726
