Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
1,579999;-0,1780575;0,2354339;35,54373;-2,518685;35,72097;-2,501587
1,599999;-0,1760453;0,2517712;35,5366;-2,423818;35,71183;-2,406914
1,619999;-0,1740333;0,2716225;35,52947;-2,328949;35,7027;-2,312237
1,639999;-0,1720248;0,2882805;35,52234;-2,234081;35,69357;-2,217564
1,659999;-0,1698992;0,4265851;35,5152;-2,139213;35,68423;-2,122078
1,679999;-0,1674336;0,7912558;35,50806;-2,044346;35,67464;-2,027462
1,699999;-0,1652021;0,5794433;35,50069;-1,949475;35,66505;-1,932816
1,719999;-0,1631394;0,4313296;35,49314;-1,854579;35,65545;-1,838127
1,739999;-0,1612418;0,285216;35,48544;-1,759745;35,64586;-1,743481
1,759999;-0,1594663;0,1808561;35,4776;-1,664856;35,63626;-1,648773
1,779999;-0,1577138;0,1753287;35,46975;-1,570013;35,62666;-1,554108
1,799999;-0,1559691;0,1850122;35,46189;-1,475137;35,61706;-1,459408
1,819999;-0,154181;0,2462853;35,454;-1,380064;35,60732;-1,363758
1,839998;-0,1520095;0,6513622;35,44611;-1,285388;35,59727;-1,269314
1,859998;-0,1500611;0,4478809;35,438;-1,190705;35,58722;-1,174835
1,879998;-0,1477514;0,8321671;35,43025;-1,095965;35,57717;-1,080341
1,899998;-0,1459297;0,3624007;35,42199;-1,001077;35,5671;-0,9856415
1,919998;-0,1441874;0,3004003;35,41366;-0,9062828;35,55704;-0,891037
1,939998;-0,1425649;0,1968496;35,4052;-0,8113761;35,54696;-0,796299
1,959998;-0,1409498;0,2055795;35,39673;-0,716472;35,53689;-0,7015648
1,979998;-0,1393319;0,224635;35,38827;-0,6216751;35,52674;-0,6062317
1,999998;-0,1372284;0,7312096;35,37982;-0,5269086;35,5162;-0,5116997
2,019998;-0,1353437;0,5312628;35,37115;-0,4321971;35,50566;-0,4171982
2,039998;-0,1334592;0,5499291;35,36248;-0,3374532;35,49512;-0,3226624
2,059998;-0,1317318;0,4100853;35,35364;-0,2425722;35,48456;-0,2279739
2,079998;-0,1301196;0,3109612;35,34468;-0,1476592;35,474;-0,1332397
2,099998;-0,128592;0,2417031;35,33563;-0,05276062;35,46343;-0,03850937
2,119998;-0,1270646;0,2567686;35,32659;0,04207869;35,45287;0,05616379
2,139998;-0,1255362;0,2729608;35,31757;0,1368151;35,44233;0,1507263
2,159998;-0,1235889;0,7115077;35,30855;0,2315008;35,4313;0,2458496
2,179998;-0,1218986;0,4712381;35,2992;0,3260797;35,42028;0,340229
2,199998;-0,1201015;0,5960804;35,28995;0,4207452;35,40924;0,4346886
2,219998;-0,1184496;0,4674625;35,28056;0,5153012;35,39821;0,5290489
2,239998;-0,1168562;0,4248649;35,2711;0,6100102;35,38716;0,6235771
2,259998;-0,1150505;0,6551063;35,26184;0,7047288;35,37612;0,7180824
2,279998;-0,1136524;0,2616003;35,25222;0,7991486;35,3651;0,8123398
2,299998;-0,1122736;0,2560388;35,24253;0,8938699;35,35405;0,9069023
2,319998;-0,1105985;0,5691745;35,23285;0,9885092;35,34263;1,001945
2,339998;-0,1086651;0,8467232;35,22321;1,083195;35,33107;1,096394
2,359998;-0,1070974;0,4967105;35,2132;1,177877;35,31951;1,190887
2,379998;-0,1057445;0,2954617;35,20299;1,272498;35,30795;1,285343
2,399998;-0,1044994;0,2001102;35,19267;1,367054;35,29639;1,379749
2,419998;-0,1033313;0,134827;35,18225;1,461756;35,28482;1,474312
2,439998;-0,1021779;0,1316388;35,17184;1,556382;35,27326;1,568794
2,459998;-0,1010321;0,1354297;35,16141;1,650999;35,2617;1,663269
2,479998;-0,0996533;0,382272;35,15099;1,745576;35,24984;1,758232
2,499998;-0,0979768;0,6967324;35,14057;1,840159;35,23775;1,852604
2,519998;-0,09655749;0,4537389;35,12989;1,934705;35,22567;1,946968
2,539998;-0,09498048;0,6272081;35,11937;2,029298;35,21358;2,041359
2,559998;-0,09368469;0,3589436;35,10857;2,123859;35,2015;2,135757
2,579998;-0,09216138;0,6016952;35,09799;2,218472;35,18941;2,230175
2,599998;-0,09087304;0,3796095;35,0872;2,312885;35,17734;2,324425
2,619998;-0,08972667;0,2491024;35,07626;2,40735;35,16526;2,418743
2,639998;-0,08838661;0,4561959;35,06536;2,501596;35,15296;2,513329
2,659998;-0,08667409;0,8457833;35,05444;2,59603;35,14034;2,607536
2,679998;-0,0852306;0,5911775;35,04324;2,690473;35,12772;2,701786
2,699998;-0,08392224;0,4691372;35,03191;2,784941;35,11509;2,796082
2,719998;-0,08288644;0,206938;35,02029;2,879526;35,10244;2,890526
2,739998;-0,08197878;0,0878796;35,00853;2,974135;35,08979;2,98502
2,759998;-0,08110841;0,05927816;34,99675;3,068706;35,07714;3,079472
2,779998;-0,0802387;0,0673271;34,98497;3,163154;35,0645;3,173805
2,799998;-0,07928031;0,1655878;34,97322;3,257566;35,05173;3,268562
2,819998;-0,07782052;0,6815802;34,96147;3,351957;35,03854;3,362751
2,839998;-0,07658066;0,4740599;34,94954;3,446074;35,02538;3,456699
2,859998;-0,07529755;0,5301341;34,9376;3,540566;35,01217;3,55101
2,879997;-0,07402655;0,530737;34,92566;3,634979;34,99897;3,645248
2,899997;-0,07282096;0,4773767;34,91365;3,729438;34,98576;3,73954
2,919997;-0,07148838;0,6176978;34,90175;3,823943;34,97255;3,833862
2,939997;-0,07054791;0,2349932;34,88948;3,918319;34,95935;3,928104
2,959997;-0,06956982;0,2823921;34,87724;4,012782;34,94614;4,022434
2,979997;-0,0680626;0,8265898;34,865;4,107102;34,93235;4,116962
2,999997;-0,06674827;0,6468523;34,85251;4,201487;34,91855;4,211159
3,019997;-0,06569567;0,3956394;34,83975;4,295852;34,90475;4,30537
3,039997;-0,06489763;0,1490631;34,82676;4,390114;34,89097;4,399517
3,059997;-0,06424967;0,005465597;34,8136;4,484402;34,87717;4,49371
3,079997;-0,06362181;-0,008357465;34,80043;4,578647;34,86338;4,587868
3,099997;-0,06300832;-0,01659472;34,78725;4,672931;34,84959;4,68206
3,119997;-0,06239901;-0,01467392;34,77406;4,767162;34,8358;4,776203
3,139997;-0,06132824;0,4574895;34,76088;4,861378;34,8215;4,870651
3,159997;-0,06010124;0,6259832;34,7477;4,955591;34,80711;4,96468
3,179997;-0,05913663;0,3732496;34,73423;5,050028;34,79268;5,058971
3,199997;-0,05800602;0,5505472;34,72097;5,144143;34,77831;5,152916
3,219997;-0,05685567;0,5817948;34,70772;5,238366;34,76392;5,246964
3,239997;-0,0559255;0,3709093;34,69426;5,332475;34,74954;5,340931
3,259997;-0,05491078;0,4656207;34,68088;5,426636;34,73516;5,43494
3,279997;-0,05391111;0,460556;34,66746;5,520926;34,72075;5,529079
3,299997;-0,05247346;0,9129114;34,65405;5,615115;34,70586;5,623402
3,319997;-0,05115573;0,8061714;34,64034;5,709239;34,69085;5,717316
3,339997;-0,05014784;0,5064179;34,6263;5,803352;34,67582;5,811272
3,359997;-0,04969575;-0,04486348;34,6117;5,897541;34,66077;5,905388
3,379997;-0,04951001;-0,3093683;34,59684;5,991695;34,64573;5,999512
3,399997;-0,04940194;-0,3859412;34,5819;6,085805;34,63068;6,093605
3,419997;-0,04928607;-0,3770005;34,56696;6,179927;34,61563;6,18771
3,439997;-0,04916605;-0,3716316;34,55205;6,273961;34,6006;6,281723
3,459997;-0,04873181;-0,05307943;34,53715;6,367962;34,58521;6,375996
3,479997;-0,04792771;0,3248234;34,52225;6,46195;34,56952;6,469852
3,499997;-0,04712696;0,3294744;34,50735;6,555924;34,55384;6,563694
3,519997;-0,04631491;0,3489086;34,49247;6,649872;34,53815;6,657509
3,539997;-0,04550298;0,3568938;34,47759;6,743793;34,52247;6,751297
3,559997;-0,04468649;0,3696259;34,46272;6,837695;34,5068;6,845062
3,579997;-0,04391686;0,3304655;34,44786;6,931281;34,49117;6,938522
3,599997;-0,04314721;0,3381732;34,43292;7,02528;34,47548;7,032394
3,619997;-0,04222165;0,5033434;34,41799;7,119236;34,45958;7,126503
3,639997;-0,04075393;1;34,40306;7,213201;34,44321;7,220215
3,659997;-0,03962744;0,7302091;34,38779;7,30715;34,42682;7,313972
3,679997;-0,03895774;0,2801296;34,37206;7,401068;34,41043;7,407776
3,699997;-0,03871343;-0,1428297;34,35592;7,494854;34,39405;7,501518
3,719997;-0,03869044;-0,3639119;34,33955;7,588641;34,37767;7,595303
3,739997;-0,03869389;-0,3903885;34,32317;7,682381;34,36129;7,689041
3,759997;-0,03870492;-0,398076;34,30677;7,776155;34,3449;7,782814
3,779997;-0,03864244;-0,3239475;34,29037;7,869879;34,32839;7,876823
3,799997;-0,03791276;0,3505565;34,274;7,963619;34,31129;7,970428
3,819997;-0,03716487;0,3762334;34,25764;8,057341;34,2942;8,064018
3,839997;-0,03641595;0,384762;34,24129;8,151064;34,27711;8,157604
3,859997;-0,03566838;0,3908854;34,22494;8,24478;34,26003;8,25119
3,879997;-0,03491515;0,4040839;34,20858;8,338517;34,24293;8,344788
3,899997;-0,0341672;0,4062734;34,19223;8,432246;34,22584;8,438385
3,919997;-0,03341462;0,4184372;34,17588;8,525957;34,20875;8,53196
3,939996;-0,03263821;0,4500283;34,15954;8,619658;34,1916;8,625782
3,959996;-0,03110418;1;34,14321;8,713349;34,17376;8,719185
3,979996;-0,03010225;0,7009077;34,12635;8,80699;34,15591;8,812637
3,999996;-0,02944594;0,3618494;34,10918;8,900355;34,13811;8,90588
4,019997;-0,02920467;-0,05077822;34,09163;8,99355;34,12032;8,999027
4,039997;-0,02901853;-0,1040437;34,07391;9,087307;34,10242;9,092751
4,059997;-0,0288238;-0,09350207;34,05626;9,180806;34,08457;9,186211
4,079997;-0,02862995;-0,09244831;34,03861;9,274217;34,06673;9,279587
4,099997;-0,02843142;-0,08579345;34,02096;9,367685;34,04889;9,373016
4,119997;-0,02763209;0,5230187;34,00334;9,461085;34,03043;9,466503
4,139997;-0,02658512;0,7811104;33,98574;9,55449;34,01181;9,5597
4,159997;-0,0254766;0,8537542;33,96819;9,647926;33,99317;9,65292
4,179996;-0,02498695;0,2397809;33,95004;9,741262;33,97454;9,746162
4,199996;-0,0249282;-0,1905304;33,9314;9,83477;33,95585;9,839657
4,219996;-0,02497099;-0,2925005;33,91268;9,928241;33,93716;9,933136
4,239996;-0,02501358;-0,2927196;33,89398;10,02157;33,91851;10,02647
4,259996;-0,02506026;-0,2972861;33,87528;10,11488;33,89986;10,1198
4,279996;-0,02464165;0,1721964;33,8566;10,20813;33,88072;10,21317
4,299996;-0,02382829;0,5750731;33,83793;10,30136;33,86126;10,30624
4,319996;-0,02305168;0,5460948;33,81923;10,39457;33,84179;10,39929
4,339996;-0,02224537;0,583854;33,80056;10,48779;33,82233;10,49234
4,359996;-0,02170723;0,3210722;33,78162;10,58094;33,80287;10,58538
4,379996;-0,02100993;0,4871971;33,76284;10,67415;33,78341;10,67845
4,399996;-0,02031989;0,4868425;33,74407;10,76729;33,76396;10,77145
4,419996;-0,01963476;0,4887839;33,72528;10,86046;33,7445;10,86448
4,439996;-0,01852934;0,9201273;33,70649;10,9536;33,72459;10,95757
4,459996;-0,01740869;0,9465628;33,68725;11,0467;33,70425;11,05042
4,479996;-0,01665172;0,5904584;33,66764;11,13977;33,68391;11,14333
4,499996;-0,01661634;-0,1307918;33,64734;11,2326;33,66357;11,23616
4,519996;-0,01700361;-0,5573006;33,62667;11,3252;33,64328;11,32884
4,539996;-0,01747134;-0,642448;33,60583;11,41815;33,6229;11,42188
4,559996;-0,01808015;-0,7896035;33,58488;11,51096;33,60254;11,51482
4,579996;-0,0183182;-0,4212337;33,56432;11,60372;33,58221;11,60764
4,599996;-0,01800876;0,1293444;33,54404;11,69667;33,56159;11,7007
4,619996;-0,01690507;0,9346433;33,5238;11,78973;33,54028;11,79352
4,639996;-0,01611002;0,6339553;33,50325;11,88275;33,51895;11,88636
4,659996;-0,0156406;0,3130068;33,4824;11,97564;33,49765;11,97914
4,679996;-0,01550692;-0,021389;33,4612;12,06854;33,47632;12,07201
4,699996;-0,01557023;-0,219009;33,43981;12,1614;33,45499;12,16489
4,719996;-0,01562895;-0,2150047;33,41843;12,25425;33,43366;12,25775
4,739996;-0,01568656;-0,2144791;33,39707;12,347;33,41236;12,35051
4,759996;-0,01572748;-0,198199;33,37572;12,43974;33,39101;12,44343
4,779996;-0,01475026;0,8297206;33,35438;12,53247;33,36872;12,53593
4,799996;-0,01405129;0,5584562;33,33278;12,62512;33,34644;12,62841
4,819996;-0,01347397;0,4425846;33,31105;12,71778;33,32415;12,72094
4,839996;-0,01312513;0,217585;33,28907;12,81051;33,30183;12,81358
4,859996;-0,01288941;0,1068265;33,26696;12,90325;33,2795;12,90627
4,879996;-0,0126511;0,1117987;33,24488;12,99592;33,25718;12,99889
4,899996;-0,01241422;0,1127398;33,22282;13,0885;33,23489;13,0914
4,919996;-0,01221823;0,07380529;33,20079;13,18076;33,21267;13,18362
4,939996;-0,01107165;1;33,17868;13,27336;33,18942;13,27607
4,959996;-0,01017468;0,7952215;33,15624;13,36586;33,16611;13,36835
4,979996;-0,009758586;0,3185115;33,13332;13,4583;33,14278;13,46069
4,999996;-0,00984761;-0,1875003;33,10993;13,55054;33,11948;13,55295
5,019996;-0,01018692;-0,4411837;33,08628;13,64276;33,09616;13,64526
5,039996;-0,01055998;-0,4786524;33,06261;13,73493;33,07285;13,73751
5,059996;-0,01094254;-0,4919915;33,03893;13,82713;33,04953;13,82981
5,079996;-0,01133035;-0,5011157;33,01525;13,91928;33,02623;13,92205
5,099996;-0,01104011;0,1798448;32,99157;14,01142;33,00225;14,01421
5,119996;-0,01062534;0,3085122;32,96791;14,10355;32,9782;14,10623
5,139996;-0,01021202;0,3112075;32,94426;14,19569;32,95414;14,19827
5,159996;-0,009802376;0,3116167;32,9206;14,28783;32,93008;14,29031
5,179996;-0,009368416;0,340276;32,89695;14,38001;32,90601;14,38238
5,199996;-0,008942314;0,3366785;32,87329;14,47217;32,88195;14,47443
5,219995;-0,008515965;0,3411898;32,84965;14,56433;32,85789;14,56648
5,239995;-0,0080869;0,3481961;32,826;14,65649;32,83382;14,65853
5,259995;-0,007170304;0,8448934;32,80235;14,74866;32,80927;14,75052
5,279995;-0,00641912;0,6869929;32,77833;14,84075;32,78453;14,84242
5,299995;-0,005922269;0,4376293;32,75404;14,93288;32,75976;14,93442
5,319995;-0,005699873;0,1653965;32,72953;15,02478;32,73504;15,02626
5,339995;-0,005419994;0,2256798;32,70511;15,1166;32,71034;15,118
5,359995;-0,005447507;-0,08198822;32,6804;15,20826;32,68566;15,20968
5,379995;-0,005456111;-0,06316514;32,65572;15,29993;32,66098;15,30135
5,399995;-0,005446984;-0,04534287;32,631;15,39175;32,63626;15,39316
5,419995;-0,00506661;0,3297081;32,60629;15,48361;32,61118;15,48496
5,439995;-0,004329878;0,6934336;32,58162;15,57544;32,5858;15,5766
5,459995;-0,003804274;0,487561;32,55672;15,66731;32,56039;15,66833
5,479995;-0,003285515;0,4859043;32,5318;15,75922;32,53497;15,7601
5,499995;-0,002767265;0,4905781;32,50689;15,85108;32,50956;15,85182
5,519995;-0,002117766;0,6283213;32,48209;15,94305;32,48413;15,94362
5,539995;-0,001887991;0,2108954;32,4569;16,03485;32,45872;16,03535
5,559995;-0,001615494;0,2563419;32,43173;16,12675;32,43328;16,12718
5,579995;-0,001110853;0,4935328;32,4066;16,21845;32,40767;16,21876
5,599995;-0,0001661078;0,9430844;32,38144;16,31026;32,3816;16,3103
5,619995;0,0004474899;0,6180727;32,35596;16,40198;32,35553;16,40186
5,639995;0,0007257252;0,2854927;32,33015;16,49363;32,32945;16,49343
5,659995;0,0007419684;0,02366289;32,3041;16,58516;32,30339;16,58496
5,679995;0,0006104455;-0,1254185;32,2779;16,67669;32,27731;16,67653
5,699995;0,0004563947;-0,1494869;32,25169;16,76817;32,25125;16,76804
5,719995;0,0002902943;-0,1631975;32,22546;16,85969;32,22518;16,85961
5,739995;0,0002551998;-0,03254249;32,19923;16,95115;32,19899;16,95108
5,759995;0,0007629394;0,5153692;32,17302;17,0426;32,17228;17,04239
5,779995;0,001287995;0,5379357;32,14681;17,13404;32,14558;17,13368
5,799995;0,001808319;0,5384079;32,12061;17,2255;32,11887;17,22499
5,819995;0,002349628;0,5648055;32,09441;17,31696;32,09216;17,3163
5,839995;0,002829585;0,5082527;32,06817;17,40839;32,06546;17,40759
5,859995;0,003419116;0,6237226;32,04202;17,4999;32,03874;17,49893
5,879995;0,003581535;0,1982343;32,01542;17,59142;32,01198;17,59041
5,899995;0,003878888;0,3361419;31,98901;17,6827;31,9853;17,68159
5,919995;0,004837103;1;31,96254;17,77419;31,95791;17,7728
5,939995;0,005456245;0,6737046;31,93577;17,86551;31,93054;17,86395
5,959995;0,005727725;0,328757;31,90866;17,95675;31,90317;17,9551
5,979995;0,005570793;-0,1012237;31,8811;18,04798;31,87576;18,04638
5,999995;0,005184583;-0,334364;31,85332;18,13917;31,84835;18,13768
6,019995;0,00482028;-0,316101;31,82557;18,23033;31,82095;18,22895
6,039995;0,004443026;-0,332824;31,79787;18,32127;31,79361;18,31999
6,059995;0,004059192;-0,3432421;31,77012;18,41236;31,76623;18,41119
6,079995;0,004246048;0,2293169;31,74238;18,5034;31,73832;18,50214
6,099995;0,004550217;0,3496708;31,71467;18,5944;31,71032;18,59306
6,119995;0,004852555;0,3508642;31,68695;18,68542;31,68232;18,68399
6,139995;0,005157137;0,3561531;31,65924;18,77642;31,65432;18,7749
6,159995;0,005455822;0,3532437;31,63153;18,86743;31,62631;18,86583
6,179995;0,005751423;0,3531152;31,60381;18,95844;31,59831;18,95675
6,199995;0,006040992;0,3499787;31,57608;19,04945;31,57031;19,04767
6,219995;0,006326348;0,3486194;31,54835;19,14046;31,5423;19,1386
6,239995;0,007069242;0,8135873;31,52062;19,23146;31,51388;19,22933
6,259995;0,007776293;0,7848135;31,49265;19,32242;31,48523;19,32008
6,279994;0,00817806;0,4835482;31,46436;19,41334;31,45656;19,41088
6,299994;0,008170784;0,07443235;31,4357;19,50409;31,42791;19,50163
6,319994;0,008172022;0,08295795;31,40705;19,59486;31,39925;19,5924
6,339994;0,007880046;-0,2131758;31,37811;19,68555;31,37059;19,68318
6,359994;0,007571131;-0,2332034;31,34916;19,77622;31,34194;19,77394
6,379994;0,007260479;-0,2380473;31,32023;19,86684;31,3133;19,86465
6,399994;0,007314767;0,127435;31,2913;19,95752;31,28434;19,95527
6,419994;0,007709851;0,4721825;31,2624;20,04816;31,25506;20,04579
6,439994;0,008113366;0,4846489;31,23351;20,1388;31,22579;20,1363
6,459994;0,008518745;0,4905672;31,20461;20,22945;31,19651;20,22683
6,479994;0,008924655;0,4951562;31,17571;20,32012;31,16722;20,31737
6,499994;0,009333013;0,5016882;31,14683;20,41076;31,13795;20,40789
6,519994;0,009744359;0,5087903;31,11795;20,50138;31,10868;20,49839
6,539994;0,01016173;0,5189906;31,08908;20,59198;31,07942;20,58886
6,559994;0,01074283;0,6885282;31,06017;20,68256;31,04997;20,67918
6,579994;0,01155529;0,9280083;31,0311;20,77291;31,02013;20,76928
6,599994;0,01217294;0,7393781;31,00174;20,86355;30,99018;20,85973
6,619994;0,01213855;0,08700483;30,97173;20,95405;30,96021;20,95024
6,639994;0,01175795;-0,2630233;30,94142;21,04439;30,93026;21,04069
6,659994;0,0112145;-0,431308;30,91098;21,13457;30,90034;21,13104
6,679994;0,01061495;-0,4934027;30,88054;21,2246;30,87046;21,22126
6,699994;0,01000272;-0,5121974;30,85003;21,31478;30,84054;21,31164
6,719994;0,009502827;-0,4048677;30,81954;21,40492;30,81054;21,40187
6,739994;0,009554115;0,1468291;30,78905;21,49503;30,78;21,49197
